category1,category2,key,subweapon,special,mainweapon,reskin,splatnet,[de-DE],[en-GB],[en-US],[es-ES],[es-MX],[fr-CA],[fr-FR],[it-IT],[ja-JP],[nl-NL],[ru-RU],[zh-CN],[zh-TW]
shooter,shooter,52gal,pointsensor,sphere,52gal,52gal,50,.52 Gallon,.52 Gal,.52 Gal,Salpicadora 2000,Salpicadora 2000,Calibre 2000,Calibre 2000,Calibro 2000,.52ガロン,.52 Kaliter,Струевик .52,点52口径重枪,點52口徑重槍
shooter,shooter,52gal_deco,curlingbomb,presser,52gal,52gal_deco,51,.52 Gallon Deko,.52 Gal Deco,.52 Gal Deco,Salpicadora 2000 DX,Salpicadora 2000 chic,Calibre 2000 chic,Calibre 2000 chic,Calibro 2000 DX,.52ガロンデコ,.52 Kaliter Deco,Струевик .52 «Деко»,点52口径重枪 Deco,點52口徑重槍 Deco
shooter,shooter,96gal,sprinkler,armor,96gal,96gal,80,.96 Gallon,.96 Gal,.96 Gal,Salpicadora 3000,Salpicadora 3000,Calibre 3000,Calibre 3000,Calibro 3000,.96ガロン,.96 Kaliter,Струевик .96,点96口径重枪,點96口徑重槍
shooter,shooter,96gal_deco,splashshield,chakuchi,96gal,96gal_deco,81,.96 Gallon Deko,.96 Gal Deco,.96 Gal Deco,Salpicadora 3000 DX,Salpicadora 3000 chic,Calibre 3000 chic,Calibre 3000 chic,Calibro 3000 DX,.96ガロンデコ,.96 Kaliter Deco,Струевик .96 «Деко»,点96口径重枪 Deco,點96口徑重槍 Deco
shooter,shooter,promodeler_mg,kyubanbomb,curlingbomb_pitcher,promodeler_mg,promodeler_mg,30,Airbrush MG,Aerospray MG,Aerospray MG,Aerógrafo pro,Aerógrafo GP,Pouche-pouche,Aérogun,Aerografo,プロモデラーMG,Kladderwerper,Аэроспрей,银色喷枪,銀色噴槍
shooter,shooter,promodeler_pg,quickbomb,nicedama,promodeler_mg,promodeler_pg,32,Airbrush PG,Aerospray PG,Aerospray PG,Aerógrafo extra,Aerógrafo GE,Pouche-pouche sélect,Aérogun select,Aerografo deluxe,プロモデラーPG,Kladderwerper Ultima,Аэроспрей ИДЕАЛ,铜色喷枪,銅色噴槍
shooter,shooter,promodeler_rg,sprinkler,sphere,promodeler_mg,promodeler_rg,31,Airbrush RG,Aerospray RG,Aerospray RG,Aerógrafo plus,Aerógrafo GN,Pouche-pouche premium,Aérogun premium,Aerografo élite,プロモデラーRG,Kladderwerper Pro,Аэроспрей ДЕЛЮКС,金色喷枪,金色噴槍
shooter,shooter,jetsweeper_custom,quickbomb,presser,jetsweeper,jetsweeper_custom,91,Platscher SE,Custom Jet Squelcher,Custom Jet Squelcher,Megabarredora SP,Megasoplador adaptado,Méganettoyeur modifié,Nettoyeur XL modifié,Sweeper CM,ジェットスイーパーカスタム,Gemodde Straalplonzer,Плескарь «Понт»,自制篮管,自制籃管
shooter,shooter,momiji,robotbomb,amefurashi,wakaba,momiji,11,Junior-Kleckser Plus,Custom Splattershot Jr.,Custom Splattershot Jr.,Lanzatintas novato B,Rociador básico adaptado,Liquéficateur ultra modifié,Liquidateur Sr.,Sparacolore logo,もみじシューター,Gemodde Superspetter jr.,Каплестрел-У 2.0,自制新叶,自制新葉
shooter,shooter,bottlegeyser_foil,splashbomb,bubble,bottlegeyser,bottlegeyser_foil,401,Quetscher Fol,Foil Squeezer,Foil Squeezer,Tintopresor B,Tintopresor Foil,Compresseur aluminium,Compresseur alu,Strizzer B,ボトルガイザーフォイル,Foil Floeper,Бутылятор «Блеск»,金箔香槟枪,金箔香檳槍
shooter,shooter,prime_collabo,kyubanbomb,bubble,prime,prime_collabo,71,Focus-Profi-Kleckser,Forge Splattershot Pro,Forge Splattershot Pro,Lanzatintas plus B,Rociador Forima,Liquéficateur pro Fosia,Liquidateur pro griffé,Splasher élite logo,プライムシューターコラボ,Forge Superspetter Pro,Каплестрел ПРО «Блиц»,锻造贴牌精英枪,鍛造貼牌精英槍
shooter,shooter,heroshooter_replica,quickbomb,chakuchi,sshooter,sshooter,45,Heldenwaffe Replik,Hero Shot Replica,Hero Shot Replica,Pistola de Élite (réplica),Rociador de élite réplica,Liquéfi. héroïque (rép.),Lanceur héroïque (réplique),Pistola élite replica,ヒーローシューター レプリカ,Heldenspetter (replica),Каплестрел-004 (клон),复刻英雄枪,復刻英雄槍
shooter,shooter,jetsweeper,poisonmist,missile,jetsweeper,jetsweeper,90,Platscher,Jet Squelcher,Jet Squelcher,Megabarredora,Megasoplador,Méganettoyeur,Nettoyeur XL,Sweeper,ジェットスイーパー,Straalplonzer,Плескарь,篮管,籃管
shooter,shooter,52gal_becchu,splashshield,nicedama,52gal,52gal_becchu,52,Kensa-.52-Gallon,Kensa .52 Gal,Kensa .52 Gal,Salpicadora 2000 elegante,Salpicadora 2000 Tonken,Calibre 2000 Thony K,Calibre 2000 K,Calibro 2000 Nero Marlin,.52ガロンベッチュー,Toni Kensa .52 Kaliter,Струевик .52 от С. Кусаки,剑乌贼丸贴牌点52口径重枪,劍烏賊丸貼牌點52口徑重槍
shooter,shooter,sshooter_becchu,kyubanbomb,missile,sshooter,sshooter_becchu,42,Kensa-Kleckser,Kensa Splattershot,Kensa Splattershot,Lanzatintas elegante,Rociador Tonken,Liquéficateur Thony K,Liquidateur K,Splasher Nero Marlin,スプラシューターベッチュー,Toni Kensa Superspetter,Каплестрел от С. Кусаки,剑乌贼丸贴牌小绿,劍烏賊丸貼牌小綠
shooter,shooter,ochiba,torpedo,bubble,wakaba,ochiba,12,Kensa-Junior-Kleckser,Kensa Splattershot Jr.,Kensa Splattershot Jr.,Lanzatintas novato elegante,Rociador básico Tonken,Liquéficateur Ultra Thony K,Liquidateur Jr. K,Sparacolore recluta Nero Marlin,おちばシューター,Toni Kensa Superspetter jr.,Каплестрел-У.С.К.,剑乌贼丸贴牌新叶,劍烏賊丸貼牌新葉
shooter,shooter,prime_becchu,splashbomb,nicedama,prime,prime_becchu,72,Kensa-Profi-Kleckser,Kensa Splattershot Pro,Kensa Splattershot Pro,Lanzatintas plus elegante,Rociador Pro Tonken,Liquéficateur pro Thony K,Liquidateur pro K,Splasher élite Nero Marlin,プライムシューターベッチュー,Toni Kensa Superspetter Pro,Каплестрел ПРО от С. К.,剑乌贼丸贴牌精英枪,劍烏賊丸貼牌精英槍
shooter,shooter,sharp_neo,quickbomb,kyubanbomb_pitcher,sharp,sharp_neo,21,Fein-Disperser Neo,Neo Splash-o-matic,Neo Splash-o-matic,Marcador fino neo,Plumón neo,Marqueur léger néo,Marqueur léger Néo,Marker d'assalto Neo,シャープマーカーネオ,Spetterspuit Neo,Плюхомет «Нео»,新式针管枪,新式針管槍
shooter,shooter,bold_neo,jumpbeacon,missile,bold,bold_neo,1,Disperser Neo,Neo Sploosh-o-matic,Neo Sploosh-o-matic,Marcador neo,Marcador grueso neo,Marqueur lourd néo,Marqueur lourd Néo,Marker Neo,ボールドマーカーネオ,Spettertuit Neo,Плюхотрон «Нео»,新式喇叭枪,新式喇叭槍
shooter,shooter,nzap83,sprinkler,amefurashi,nzap85,nzap83,62,N-ZAP83,N-ZAP '83,N-ZAP '83,N-ZAP 83,N-ZAP 83,N-ZAP 83,N-ZAP 83,N-ZAP83,N-ZAP83,N-ZAP '83,N-ZAP 83,83版快枪,83版快槍
shooter,shooter,nzap85,kyubanbomb,armor,nzap85,nzap85,60,N-ZAP85,N-ZAP '85,N-ZAP '85,N-ZAP 85,N-ZAP 85,N-ZAP 85,N-ZAP 85,N-ZAP85,N-ZAP85,N-ZAP '85,N-ZAP 85,85版快枪,85版快槍
shooter,shooter,nzap89,robotbomb,missile,nzap85,nzap89,61,N-ZAP89,N-ZAP '89,N-ZAP '89,N-ZAP 89,N-ZAP 89,N-ZAP 89,N-ZAP 89,N-ZAP89,N-ZAP89,N-ZAP '89,N-ZAP 89,89版快枪,89版快槍
shooter,shooter,octoshooter_replica,splashbomb,jetpack,sshooter,sshooter_collabo,46,Octo Shot Replica,Octo Shot Replica,Octo Shot Replica,Pistola octariana (réplica),Pistola octariana réplica,Liquéfi. octarien (rép.),Lanceur Octaling (réplique),Octo Shot Replica,オクタシューター レプリカ,Octo Shot Replica,Octo Shot Replica,复刻章鱼小枪,復刻章魚小槍
shooter,shooter,sharp,poisonmist,jetpack,sharp,sharp,20,Fein-Disperser,Splash-o-matic,Splash-o-matic,Marcador fino,Plumón,Marqueur léger,Marqueur léger,Marker d'assalto,シャープマーカー,Spetterspuit,Плюхомет,针管枪,針管槍
shooter,shooter,sshooter,quickbomb,chakuchi,sshooter,sshooter,40,Kleckser,Splattershot,Splattershot,Lanzatintas,Rociador,Liquéficateur,Liquidateur,Splasher,スプラシューター,Superspetter,Каплестрел,小绿,小綠
shooter,shooter,wakaba,splashbomb,armor,wakaba,wakaba,10,Junior-Kleckser,Splattershot Jr.,Splattershot Jr.,Lanzatintas novato,Rociador básico,Liquéficateur ultra,Liquidateur Jr.,Sparacolore recluta,わかばシューター,Superspetter jr.,Каплестрел-У,新叶,新葉
shooter,shooter,prime,pointsensor,amefurashi,prime,prime,70,Profi-Kleckser,Splattershot Pro,Splattershot Pro,Lanzatintas plus,Rociador Pro,Liquéficateur pro,Liquidateur pro,Splasher élite,プライムシューター,Superspetter Pro,Каплестрел ПРО,精英枪,精英槍
shooter,shooter,bold,curlingbomb,chakuchi,bold,bold,0,Disperser,Sploosh-o-matic,Sploosh-o-matic,Marcador,Marcador grueso,Marqueur lourd,Marqueur lourd,Marker,ボールドマーカー,Spettertuit,Плюхотрон,喇叭枪,喇叭槍
shooter,shooter,bold_7,splashbomb,ultrahanko,bold,bold_7,2,Disperser 7,Sploosh-o-matic 7,Sploosh-o-matic 7,Marcador versátil,Marcador grueso 7,Marqueur lourd 7,Marqueur lourd 7,Marker multi,ボールドマーカー7,Spettertuit 7,Плюхотрон-7,贴牌喇叭枪,貼牌喇叭槍
shooter,shooter,bottlegeyser,splashshield,presser,bottlegeyser,bottlegeyser,400,Quetscher,Squeezer,Squeezer,Tintopresor,Tintopresor,Compresseur,Compresseur,Strizzer,ボトルガイザー,Floeper,Бутылятор,香槟枪,香檳槍
shooter,shooter,sshooter_collabo,splashbomb,jetpack,sshooter,sshooter_collabo,41,Tentatek-Kleckser,Tentatek Splattershot,Tentatek Splattershot,Lanzatintas B,Rociador Tentáctica,Liquéficateur Tentatek,Liquidateur griffé,Splasher logo,スプラシューターコラボ,Tentatek Superspetter,Каплестрел «Щуччи»,东海堂贴牌小绿,東海堂貼牌小綠
shooter,blaster,hotblaster,poisonmist,chakuchi,hotblaster,hotblaster,210,Blaster,Blaster,Blaster,Devastador,Lanzamotas,Éclablasteur,Éclablaster,Blaster,ホットブラスター,Klodderblaster,Бластер,热泡枪,熱泡槍
shooter,blaster,clashblaster,splashbomb,presser,clashblaster,clashblaster,230,Kontra-Blaster,Clash Blaster,Clash Blaster,Turbodevastador,Hiperlanzamotas,Rafalblasteur,Rafablaster,Blaster da mischia,クラッシュブラスター,Knalblaster,Контрабластер,蜡笔泡枪,蠟筆泡槍
shooter,blaster,clashblaster_neo,curlingbomb,missile,clashblaster,clashblaster_neo,231,Kontra-Blaster Neo,Clash Blaster Neo,Clash Blaster Neo,Turbodevastador neo,Hiperlanzamotas neo,Rafalblasteur néo,Rafablaster Néo,Blaster da mischia Neo,クラッシュブラスターネオ,Knalblaster Neo,Контрабластер «Нео»,新式蜡笔泡枪,新式蠟筆泡槍
shooter,blaster,hotblaster_custom,robotbomb,jetpack,hotblaster,hotblaster_custom,211,Blaster SE,Custom Blaster,Custom Blaster,Devastador SP,Lanzamotas adaptado,Éclablasteur modifié,Éclablaster modifié,Blaster CM,ホットブラスターカスタム,Gemodde Klodderblaster,Бластер «Понт»,自制热泡枪,自制熱泡槍
shooter,blaster,longblaster_custom,curlingbomb,bubble,longblaster,longblaster_custom,221,Fern-Blaster SE,Custom Range Blaster,Custom Range Blaster,Teledevastador SP,Telelanzamotas adaptado,Éclablasteur LP modifié,Éclablaster XL griffé,Blaster a distanza CM,ロングブラスターカスタム,Gemodde Teleblaster,Дальнобластер «Понт»,自制长热泡,自制長熱泡
shooter,blaster,longblaster_necro,quickbomb,missile,longblaster,longblaster_necro,222,Fern-Blaster Inferno,Grim Range Blaster,Grim Range Blaster,Teledevastador tétrico,Telelanzamotas funesto,Éclablasteur lugubre,Éclablaster Nox,Blaster a distanza dark,ロングブラスターネクロ,Duistere Teleblaster,Дальнобластер «Мрак»,绿色长热泡,綠色長熱泡
shooter,blaster,heroblaster_replica,poisonmist,chakuchi,hotblaster,hotblaster,215,Helden-Blaster Replik,Hero Blaster Replica,Hero Blaster Replica,Devastador de élite (réplica),Lanzamotas de élite réplica,Hero Blaster Replica,Hero Blaster Replica,Blaster élite replica,ヒーローブラスター レプリカ,Heldenblaster (replica),Бластер-004 (клон),复刻英雄热泡枪,復刻英雄熱泡槍
shooter,blaster,nova_becchu,tansanbomb,amefurashi,nova,nova_becchu,202,Kensa-Luna-Blaster,Kensa Luna Blaster,Kensa Luna Blaster,Ultradevastador elegante,Lanzamotas Nova Tonken,Proxiblasteur Thony K,Proxiblaster K,Blaster lunar Nero Marlin,ノヴァブラスターベッチュー,Toni Kensa Lunablaster,Лунобластер от С. Кусаки,剑乌贼丸贴牌月亮泡枪,劍烏賊丸貼牌月亮泡槍
shooter,blaster,rapid_becchu,torpedo,sphere,rapid,rapid_becchu,242,Kensa-Turbo-Blaster,Kensa Rapid Blaster,Kensa Rapid Blaster,Devastador exprés elegante,Turbolanzamotas Tonken,Turboblasteur Thony K,Turboblaster K,Blaster rapido Nero Marlin,ラピッドブラスターベッチュー,Toni Kensa Flitsblaster,Бластермат от С. Кусаки,剑乌贼丸贴牌红色快速泡枪,劍烏賊丸貼牌紅色快速泡槍
shooter,blaster,nova,splashbomb,sphere,nova,nova,200,Luna-Blaster,Luna Blaster,Luna Blaster,Ultradevastador,Lanzamotas Nova,Proxiblasteur,Proxiblaster,Blaster lunar,ノヴァブラスター,Lunablaster,Лунобластер,月亮泡枪,月亮泡槍
shooter,blaster,nova_neo,trap,kyubanbomb_pitcher,nova,nova_neo,201,Luna-Blaster Neo,Luna Blaster Neo,Luna Blaster Neo,Ultradevastador neo,Lanzamotas Nova neo,Proxiblasteur néo,Proxiblaster Néo,Blaster lunar Neo,ノヴァブラスターネオ,Lunablaster Neo,Лунобластер «Нео»,新式月亮泡枪,新式月亮泡槍
shooter,blaster,longblaster,kyubanbomb,amefurashi,longblaster,longblaster,220,Fern-Blaster,Range Blaster,Range Blaster,Teledevastador,Telelanzamotas,Éclablasteur LP,Éclablaster XL,Blaster a distanza,ロングブラスター,Teleblaster,Дальнобластер,长热泡枪,長熱泡槍
shooter,blaster,rapid,trap,splashbomb_pitcher,rapid,rapid,240,Turbo-Blaster,Rapid Blaster,Rapid Blaster,Devastador exprés,Turbolanzamotas,Turboblasteur,Turboblaster,Blaster rapido,ラピッドブラスター,Flitsblaster,Бластермат,红色快速泡枪,紅色快速泡槍
shooter,blaster,rapid_deco,kyubanbomb,jetpack,rapid,rapid_deco,241,Turbo-Blaster Deko,Rapid Blaster Deco,Rapid Blaster Deco,Devastador exprés DX,Turbolanzamotas chic,Turboblasteur chic,Turboblaster chic,Blaster rapido DX,ラピッドブラスターデコ,Flitsblaster Deco,Бластермат «Деко»,德科贴牌红色快速泡枪,德科貼牌紅色快速泡槍
shooter,blaster,rapid_elite,poisonmist,amefurashi,rapid_elite,rapid_elite,250,Turbo-Blaster Plus,Rapid Blaster Pro,Rapid Blaster Pro,Superdevastador,Turbolanzamotas Pro,Turboblasteur pro,Turboblaster pro,Blaster élite,Rブラスターエリート,Flitsblaster Pro,Бластермат ПРО,红色精英快速热泡枪,紅色精英快速熱泡槍
shooter,blaster,rapid_elite_deco,splashshield,armor,rapid_elite,rapid_elite_deco,251,Turbo-Blaster Plus Deko,Rapid Blaster Pro Deco,Rapid Blaster Pro Deco,Superdevastador DX,Turbolanzamotas Pro chic,Turboblasteur pro chic,Turboblaster pro chic,Blaster élite DX,Rブラスターエリートデコ,Flitsblaster Pro Deco,Бластермат ПРО «Деко»,德科贴牌红色快速热泡枪,德科貼牌紅色快速熱泡槍
shooter,maneuver,sputtery_clear,torpedo,chakuchi,sputtery,sputtery_clear,5002,Sprenkler Claro,Clear Dapple Dualies,Clear Dapple Dualies,Atomizador dual sencillo,Atomizador dual sencillo,Double moucheteur dépoli,Double moucheteur dépoli,Ripolpella duplo minimal,スパッタリークリア,Dubbelspatters Helder,Импрессиометы «Белизна»,白色牙刷双枪,白色牙刷雙槍
shooter,maneuver,dualsweeper_custom,splashbomb,amefurashi,dualsweeper,dualsweeper_custom,5031,Dual-Platscher SE,Custom Dualie Squelchers,Custom Dualie Squelchers,Barredora dual SP,Soplador dual adaptado,Double nettoyeur modifié,Double nettoyeur modifié,Sweeper duplo CM,デュアルスイーパーカスタム,Gemodde Dubbelplonzers,Спурт-плескари «Понт»,自制红管,自制紅管
shooter,maneuver,sputtery,jumpbeacon,kyubanbomb_pitcher,sputtery,sputtery,5000,Sprenkler,Dapple Dualies,Dapple Dualies,Atomizador dual,Atomizador dual,Double moucheteur,Double moucheteur,Ripolpella duplo,スパッタリー,Dubbelspatters,Импрессиометы,红色牙刷双枪,紅色牙刷雙槍
shooter,maneuver,sputtery_hue,poisonmist,amefurashi,sputtery,sputtery_hue,5001,Sprenkler Fresco,Dapple Dualies Nouveau,Dapple Dualies Nouveau,Atomizador dual maestro,Atomizador dual maestro,Double moucheteur nuancé,Double moucheteur nuancé,Ripolpella duplo master,スパッタリー・ヒュー,Dubbelspatters Nouveau,Импрессиометы «НуВо»,紫色牙刷双枪,紫色牙刷雙槍
shooter,maneuver,quadhopper_black,robotbomb,chakuchi,quadhopper_black,quadhopper_black,5040,Quadhopper Noir,Dark Tetra Dualies,Dark Tetra Dualies,Motatrónic dual negro,Tetra dual negro,Double voltigeur noir,Double voltigeur noir,Moscarpino duplo nero,クアッドホッパーブラック,Quadhoppers Zwart,Черные спуртокроссы,白色气垫双枪,白色氣墊雙槍
shooter,maneuver,dualsweeper,pointsensor,missile,dualsweeper,dualsweeper,5030,Dual-Platscher,Dualie Squelchers,Dualie Squelchers,Barredora dual,Soplador dual,Double nettoyeur,Double nettoyeur,Sweeper duplo,デュアルスイーパー,Dubbelplonzers,Спурт-плескари,红管,紅管
shooter,maneuver,maneuver_collabo,curlingbomb,jetpack,maneuver,maneuver_collabo,5011,Enperry-Klecks-Doppler,Enperry Splat Dualies,Enperry Splat Dualies,Difusor dual B,Difusor dual Emperi,Double encreur DUX,Double encreur griffé,Repolper duplo logo,スプラマニューバーコラボ,Enperry Dubbelknallers,Спуртометы «К.К.»,金色双枪,金色雙槍
shooter,maneuver,kelvin525,trap,jetpack,kelvin525,kelvin525,5020,Kelvin 525,Glooga Dualies,Glooga Dualies,Fundidora 525 dual,Fundidora 525 dual,Double Kelvin 525,Double Kelvin 525,Kelvin duplo 525,ケルビン525,Kelvin 525,Термоплюхи 525,蓝色开尔文,藍色開爾文
shooter,maneuver,kelvin525_deco,splashshield,sphere,kelvin525,kelvin525_deco,5021,Kelvin 525 Deko,Glooga Dualies Deco,Glooga Dualies Deco,Fundidora 525 dual DX,Fundidora 525 dual chic,Double Kelvin 525 chic,Double Kelvin 525 chic,Kelvin duplo 525 DX,ケルビン525デコ,Kelvin 525 Deco,Термоплюхи 525 «Деко»,金色开尔文,金色開爾文
shooter,maneuver,heromaneuver_replica,quickbomb,missile,maneuver,maneuver,5015,Helden-Doubler Replik,Hero Dualie Replicas,Hero Dualie Replicas,Difusor dual de élite (réplica),Difusor dual de élite réplica,Hero Dualie Replicas,Hero Dualie Replicas,Repolper duplo élite replica,ヒーローマニューバー レプリカ,Heldenknallers (replica),Спуртометы-004 (клон),复刻英雄双枪,復刻英雄雙槍
shooter,maneuver,kelvin525_becchu,tansanbomb,armor,kelvin525,kelvin525_becchu,5022,Kensa-Kelvin-525,Kensa Glooga Dualies,Kensa Glooga Dualies,Fundidora 525 dual elegante,Fundidora 525 dual Tonken,Double Kelvin 525 Thony K,Double Kelvin 525 K,Kelvin duplo 525 Nero Marlin,ケルビン525ベッチュー,Toni Kensa Kelvin 525,Термоплюхи 525 от С. К.,剑乌贼丸贴牌开尔文,劍烏賊丸貼牌開爾文
